Date,Time,Vehicle,Place,Reason,Position,Description,Datetime,Temperature (C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Latitude,Longitude,ts,hour,dow,is_weekend,is_wet,lat_bin,lon_bin,segment_id,is_speed_reason,SPI_smoothed
2020.06.05,19:40:00,Car,Millagahamula 46/10 Culvert,Excessive Speed,"6.990058, 80.463009",out of control,2020-06-05 19:40:00,22.2,93,0.0,5.9,6.990058,80.463009,2020-06-05 19:40:00,19,4,0,0,6.99,80.463,6.99_80.463,1,0.39833711262282695
2020.06.10,11:00:00,Car,Millagahamula 46/12 Culvert,Excessive Speed,"6.989994, 80.457293",Collision with lorry,2020-06-10 11:00:00,24.5,85,1.0,8.9,6.989994,80.457293,2020-06-10 11:00:00,11,2,0,1,6.99,80.457,6.99_80.457,1,0.39833711262282695
2020.06.18,07:05:00,Bus,Ginigathena Hospital,Slipped,"6.9924, 80.4886",hit a pole,2020-06-18 07:05:00,23.2,90,0.1,8.0,6.9924,80.4886,2020-06-18 07:05:00,7,3,0,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
2020.06.23,19:35:00,Bus,Ginigathena Bus Stand,Slipped,"6.9954, 80.4918",Skidded on oil,2020-06-23 19:35:00,22.3,96,0.0,3.3,6.9954,80.4918,2020-06-23 19:35:00,19,1,0,0,6.995,80.492,6.995_80.492,0,0.35071806500377933
2020.07.01,12:30:00,Lorry,Kadawala 55/16 Culvert,Mechanical Error,"6.979477, 80.503537",brake failure,2020-07-01 12:30:00,25.2,86,0.7,9.4,6.979477,80.503537,2020-07-01 12:30:00,12,2,0,1,6.979,80.504,6.979_80.504,0,0.35071806500377933
2020.07.06,08:10:00,Lorry,Badupola 50km Marker,Mechanical Error,"6.9985, 80.4758",Engine failure,2020-07-06 08:10:00,23.5,85,0.1,8.7,6.9985,80.4758,2020-07-06 08:10:00,8,0,0,0,6.998,80.476,6.998_80.476,0,0.35071806500377933
2020.07.13,12:45:00,Tipper /bus,Millagahamula,Excessive Speed,"6.990092, 80.456055",accident while overtaking,2020-07-13 12:45:00,25.6,92,0.5,8.3,6.990092,80.456055,2020-07-13 12:45:00,12,0,0,1,6.99,80.456,6.99_80.456,1,0.39833711262282695
2020.07.14,15:55:00,Three Wheeler,Ambagamuwa Temple,Excessive Speed,"7.0190, 80.4938",hit a cyclist,2020-07-14 15:55:00,24.9,83,0.2,12.0,7.019,80.4938,2020-07-14 15:55:00,15,1,0,1,7.019,80.494,7.019_80.494,1,0.39833711262282695
2020.07.19,12:45:00,Motor Cycle,Ambagamuwa 9/5 Culvert,Excessive Speed,"7.017119, 80.492386",Hit three-wheeler,2020-07-19 12:45:00,26.8,74,0.2,5.0,7.017119,80.492386,2020-07-19 12:45:00,12,6,1,1,7.017,80.492,7.017_80.492,1,0.4256854256854257
2020.07.27,20:20:00,Motor Cycle,Ginigathena Bus Stand,Slipped,"6.9954, 80.4918",fell on wet road,2020-07-27 20:20:00,22.0,74,0.0,3.7,6.9954,80.4918,2020-07-27 20:20:00,20,0,0,0,6.995,80.492,6.995_80.492,0,0.35071806500377933
2020.08.01,17:20:00,Three Wheeler,Ginigathena Market,Slipped,"6.9889, 80.4921",Turn over,2020-08-01 17:20:00,23.1,91,0.7,9.8,6.9889,80.4921,2020-08-01 17:20:00,17,5,1,1,6.989,80.492,6.989_80.492,0,0.35071806500377933
2020.08.09,09:45:00,Van,Rampadeniya 51/14 Culvert,Excessive Speed,"6.996108, 80.480102",collision with lorry,2020-08-09 09:45:00,22.9,96,0.4,8.1,6.996108,80.480102,2020-08-09 09:45:00,9,6,1,1,6.996,80.48,6.996_80.48,1,0.39833711262282695
2020.08.10,22:15:00,Three Wheeler,Diyagala 57/7 Culvert,Slipped,"6.979471, 80.503557",out of control,2020-08-10 22:15:00,21.1,91,0.0,4.1,6.979471,80.503557,2020-08-10 22:15:00,22,0,0,0,6.979,80.504,6.979_80.504,0,0.35071806500377933
2020.08.14,10:55:00,Van,Diyagala 56/2 Culvert,Excessive Speed,"6.976911, 80.503590",Lost control,2020-08-14 10:55:00,24.1,82,0.3,12.1,6.976911,80.50359,2020-08-14 10:55:00,10,4,0,1,6.977,80.504,6.977_80.504,1,0.4256854256854257
2020.08.18,17:30:00,Three Wheeler,Bagathuluwa 11/4 Culvert,,"6.999472, 80.490629",,2020-08-18 17:30:00,23.7,83,0.0,5.4,6.999472,80.490629,2020-08-18 17:30:00,17,1,0,0,6.999,80.491,6.999_80.491,0,0.35071806500377933
2020.08.20,11:00:00,Three Wheeler,44km Mark On Ht-colombo Rd,"Slipped, Excessive Speed","6.993788, 80.445966",out of control,2020-08-20 11:00:00,25.1,79,0.1,9.1,6.993788,80.445966,2020-08-20 11:00:00,11,3,0,0,6.994,80.446,6.994_80.446,1,0.39833711262282695
2020.08.22,14:10:00,Car,Pitawala Junction,Slipped,"6.9942, 80.4497",lost control,2020-08-22 14:10:00,25.4,81,0.6,10.6,6.9942,80.4497,2020-08-22 14:10:00,14,5,1,1,6.994,80.45,6.994_80.45,0,0.35071806500377933
2020.08.27,21:30:00,Car,Rampadeniya 51/11 Culvert,Slipped,"6.9961, 80.4800",Skidded on gravel,2020-08-27 21:30:00,20.6,97,0.0,4.2,6.9961,80.48,2020-08-27 21:30:00,21,3,0,0,6.996,80.48,6.996_80.48,0,0.35071806500377933
2020.09.04,18:35:00,Bus,Diyagala 57/10 Culvert,Excessive Speed,"6.976686, 80.506372",hit a tree,2020-09-04 18:35:00,23.1,88,0.0,4.4,6.976686,80.506372,2020-09-04 18:35:00,18,4,0,0,6.977,80.506,6.977_80.506,1,0.39833711262282695
2020.09.09,14:05:00,Bus,Kadawala 55/13 Culvert,Excessive Speed,"6.977741, 80.503269",Hit tree,2020-09-09 14:05:00,21.5,95,4.0,9.2,6.977741,80.503269,2020-09-09 14:05:00,14,2,0,1,6.978,80.503,6.978_80.503,1,0.4256854256854257
2020.09.13,16:30:00,Car,Ginigathena Police Station,Excessive Speed,"6.989008, 80.494092",out of control,2020-09-13 16:30:00,21.4,97,0.5,10.6,6.989008,80.494092,2020-09-13 16:30:00,16,6,1,1,6.989,80.494,6.989_80.494,1,0.39833711262282695
2020.09.17,11:00:00,Lorry,Millagahamula 48/7 Culvert,Slipped,"6.989992, 80.463073",Turn over,2020-09-17 11:00:00,24.1,96,0.4,11.8,6.989992,80.463073,2020-09-17 11:00:00,11,3,0,1,6.99,80.463,6.99_80.463,0,0.35071806500377933
2020.09.22,07:40:00,Lorry,Millagahamula Wasana Hotel,Slipped,"6.9918, 80.4571",Turn over,2020-09-22 07:40:00,21.4,98,0.6,5.9,6.9918,80.4571,2020-09-22 07:40:00,7,1,0,1,6.992,80.457,6.992_80.457,0,0.35071806500377933
2020.09.30,16:25:00,Three Wheeler,Ginigathena Market,Excessive Speed,"6.9889, 80.4921",hit a cart,2020-09-30 16:25:00,21.9,94,0.3,10.7,6.9889,80.4921,2020-09-30 16:25:00,16,2,0,1,6.989,80.492,6.989_80.492,1,0.39833711262282695
2020.10.05,08:55:00,Van,Ginigathena Hospital,Mechanical Error,"6.992444, 80.488624",out of control,2020-10-05 08:55:00,23.0,81,0.0,6.4,6.992444,80.488624,2020-10-05 08:55:00,8,0,0,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
2020.10.05,16:15:00,Motor Cycle,Ambagamuwa Samurdi Bank,Excessive Speed,"7.010875, 80.490356",Collision with car,2020-10-05 16:15:00,24.1,79,0.0,10.1,7.010875,80.490356,2020-10-05 16:15:00,16,0,0,0,7.011,80.49,7.011_80.49,1,0.39833711262282695
2020.10.13,21:50:00,Motor Cycle,Kadawala School,Slipped,"6.9775, 80.5040",skidded on gravel,2020-10-13 21:50:00,21.2,100,0.9,12.5,6.9775,80.504,2020-10-13 21:50:00,21,1,0,1,6.978,80.504,6.978_80.504,0,0.35071806500377933
2020.10.18,09:50:00,Three Wheeler,Ginigathena Police Station,Slipped,"6.9890, 80.4940",Fell on wet road,2020-10-18 09:50:00,23.5,81,0.1,7.1,6.989,80.494,2020-10-18 09:50:00,9,6,1,0,6.989,80.494,6.989_80.494,0,0.3347763347763348
2020.10.26,08:15:00,Van,Ambagamuwa 9/8 Culvert,Excessive Speed,"7.0190, 80.4938",collision with bike,2020-10-26 08:15:00,24.0,79,0.0,2.8,7.019,80.4938,2020-10-26 08:15:00,8,0,0,0,7.019,80.494,7.019_80.494,1,0.39833711262282695
2020.10.31,22:25:00,Van,Pitawala Junction,Excessive Speed,"6.9941, 80.4496",Hit barrier,2020-10-31 22:25:00,20.7,98,0.0,2.1,6.9941,80.4496,2020-10-31 22:25:00,22,5,1,0,6.994,80.45,6.994_80.45,1,0.4256854256854257
2020.11.08,13:40:00,Car,Ginigathena Police Station,Slipped,"6.9890, 80.4941",lost control,2020-11-08 13:40:00,24.3,86,13.8,8.7,6.989,80.4941,2020-11-08 13:40:00,13,6,1,1,6.989,80.494,6.989_80.494,0,0.35071806500377933
2020.11.12,18:10:00,Motor Cycle,Badupola 50km Marker,Excessive Speed,"6.9985, 80.4758",out of control / accident three wheeler,2020-11-12 18:10:00,22.8,91,0.1,1.1,6.9985,80.4758,2020-11-12 18:10:00,18,3,0,0,6.998,80.476,6.998_80.476,1,0.39833711262282695
2020.11.13,15:00:00,Car,Diyagala 57/9 Culvert,Slipped,"6.955723, 80.527169",Skidded on oil,2020-11-13 15:00:00,23.6,99,1.3,2.5,6.955723,80.527169,2020-11-13 15:00:00,15,4,0,1,6.956,80.527,6.956_80.527,0,0.3347763347763348
2020.11.16,11:45:00,Motor Cycle,Kadawala Baduyir Hotel,Slipped,"6.9774, 80.5039",slipped when breaking,2020-11-16 11:45:00,25.6,82,0.1,4.7,6.9774,80.5039,2020-11-16 11:45:00,11,0,0,0,6.977,80.504,6.977_80.504,0,0.35071806500377933
2020.11.21,17:05:00,Bus,Badupola 50km Marker,Excessive Speed,"6.9985, 80.4758",hit a fence,2020-11-21 17:05:00,22.8,90,0.0,3.4,6.9985,80.4758,2020-11-21 17:05:00,17,5,1,0,6.998,80.476,6.998_80.476,1,0.39833711262282695
2020.11.26,08:35:00,Bus,Bagathuluwa Temple,Excessive Speed,"7.0039, 80.4899",Hit wall,2020-11-26 08:35:00,23.9,79,0.0,8.4,7.0039,80.4899,2020-11-26 08:35:00,8,3,0,0,7.004,80.49,7.004_80.49,1,0.4256854256854257
2020.12.04,10:30:00,Lorry,Diyagala 56/6 Culvert,Mechanical Error,"6.978387, 80.503750",engine failure,2020-12-04 10:30:00,24.0,91,0.3,7.1,6.978387,80.50375,2020-12-04 10:30:00,10,4,0,1,6.978,80.504,6.978_80.504,0,0.35071806500377933
2020.12.09,13:10:00,Lorry,Ambagamuwa Hot Roti Store,Slipped,"7.0193, 80.4952",Turn over,2020-12-09 13:10:00,25.0,83,0.4,4.6,7.0193,80.4952,2020-12-09 13:10:00,13,2,0,1,7.019,80.495,7.019_80.495,0,0.3347763347763348
2020.12.17,19:55:00,Three Wheeler,Ambagamuwa Temple,Slipped,"7.0190, 80.4938",Turn over,2020-12-17 19:55:00,21.9,89,0.0,0.8,7.019,80.4938,2020-12-17 19:55:00,19,3,0,0,7.019,80.494,7.019_80.494,0,0.35071806500377933
2020.12.20,16:15:00,Motor Cycle,Diyagala 57/9 Culvert,Excessive Speed,"6.955723, 80.527169",accident with bowser,2020-12-20 16:15:00,22.6,90,1.4,4.0,6.955723,80.527169,2020-12-20 16:15:00,16,6,1,1,6.956,80.527,6.956_80.527,1,0.39833711262282695
2020.12.22,18:45:00,Motor Cycle,Kadawala Baduyir Hotel,Excessive Speed,"6.9774, 80.5039",Collision with three-wheeler,2020-12-22 18:45:00,21.7,93,0.8,2.8,6.9774,80.5039,2020-12-22 18:45:00,18,1,0,1,6.977,80.504,6.977_80.504,1,0.4256854256854257
2020.12.28,08:15:00,Truck,Kalugala Maha Vidyalaya,Excessive Speed,"6.994563, 80.447144",out of control,2020-12-28 08:15:00,23.1,87,0.0,1.0,6.994563,80.447144,2020-12-28 08:15:00,8,0,0,0,6.995,80.447,6.995_80.447,1,0.39833711262282695
2020.12.30,07:20:00,Motor Cycle,Millagahamula 47/4 Culvert,Excessive Speed,"6.990015, 80.462886",hit a pedestrian,2020-12-30 07:20:00,18.5,88,0.0,5.6,6.990015,80.462886,2020-12-30 07:20:00,7,2,0,0,6.99,80.463,6.99_80.463,1,0.39833711262282695
2021.01.04,11:20:00,Three Wheeler,Ginigathena Hospital,Slipped,"6.9924, 80.4886",Skidded on wet road,2021-01-04 11:20:00,23.7,85,0.5,8.3,6.9924,80.4886,2021-01-04 11:20:00,11,0,0,1,6.992,80.489,6.992_80.489,0,0.3347763347763348
2021.01.12,12:45:00,Van,Ginigathena Hospital,Slipped,"6.9924, 80.4886",skidded on oil,2021-01-12 12:45:00,24.0,85,2.0,5.6,6.9924,80.4886,2021-01-12 12:45:00,12,1,0,1,6.992,80.489,6.992_80.489,0,0.35071806500377933
2021.01.17,20:55:00,Van,Laxapana Bata Deka,Excessive Speed,"6.9780, 80.4587",Lost control,2021-01-17 20:55:00,21.6,92,0.2,2.4,6.978,80.4587,2021-01-17 20:55:00,20,6,1,1,6.978,80.459,6.978_80.459,1,0.4256854256854257
2021.01.20,15:00:00,Car / Motor Cycle,Bagathuluwa 11/4 Culvert,,"6.999472, 80.490629",accident,2021-01-20 15:00:00,24.3,81,0.0,6.7,6.999472,80.490629,2021-01-20 15:00:00,15,2,0,0,6.999,80.491,6.999_80.491,0,0.35071806500377933
2021.01.25,16:10:00,Car,Kadawala 55/17 Culvert,Excessive Speed,"6.979184, 80.504160",out of control,2021-01-25 16:10:00,25.2,65,0.0,6.3,6.979184,80.50416,2021-01-25 16:10:00,16,0,0,0,6.979,80.504,6.979_80.504,1,0.39833711262282695
2021.01.29,16:45:00,Van,Kadawala School,Slipped,"6.977475, 80.503988",out of control,2021-01-29 16:45:00,22.8,93,0.8,3.6,6.977475,80.503988,2021-01-29 16:45:00,16,4,0,1,6.977,80.504,6.977_80.504,0,0.35071806500377933
2021.01.30,09:30:00,Car,Millagahamula Bridge,Slipped,"6.9913, 80.4618",Turn over,2021-01-30 09:30:00,24.5,73,0.0,3.1,6.9913,80.4618,2021-01-30 09:30:00,9,5,1,0,6.991,80.462,6.991_80.462,0,0.35071806500377933
2021.02.07,13:15:00,Lorry,Rampadeniya 51/9 Culvert,,"6.995527, 80.478718",accident,2021-02-07 13:15:00,25.7,82,2.0,4.7,6.995527,80.478718,2021-02-07 13:15:00,13,6,1,1,6.996,80.479,6.996_80.479,0,0.35071806500377933
2021.02.07,21:35:00,Bus,Rampadeniya 51/15 Culvert,Slipped,"6.996108, 80.480103",plunged into ditch,2021-02-07 21:35:00,21.7,92,0.0,2.6,6.996108,80.480103,2021-02-07 21:35:00,21,6,1,0,6.996,80.48,6.996_80.48,0,0.35071806500377933
2021.02.12,14:05:00,Bus,Badupola 50km Marker,Excessive Speed,"6.9984, 80.4757",Hit tree,2021-02-12 14:05:00,26.4,67,0.0,8.0,6.9984,80.4757,2021-02-12 14:05:00,14,4,0,0,6.998,80.476,6.998_80.476,1,0.4256854256854257
2021.02.20,10:00:00,Lorry,Pitawala Junction,Mechanical Error,"6.9942, 80.4497",brake failure,2021-02-20 10:00:00,25.0,78,0.0,7.1,6.9942,80.4497,2021-02-20 10:00:00,10,5,1,0,6.994,80.45,6.994_80.45,0,0.3347763347763348
2021.02.25,17:40:00,Lorry,Miyora Hotel,Slipped,"6.9903, 80.4352",Skidded on oil,2021-02-25 17:40:00,25.1,73,0.2,5.4,6.9903,80.4352,2021-02-25 17:40:00,17,3,0,1,6.99,80.435,6.99_80.435,0,0.3347763347763348
2021.03.01,08:00:00,Motor Cycle / Lorry / Three Wheeler,"Hnb Bank, Ginigathena",,"6.989438, 80.492237",accident,2021-03-01 08:00:00,21.9,72,0.0,2.6,6.989438,80.492237,2021-03-01 08:00:00,8,0,0,0,6.989,80.492,6.989_80.492,0,0.35071806500377933
2021.03.05,15:25:00,Three Wheeler,Ginigathena Market,Excessive Speed,"6.9889, 80.4921",hit a barrier,2021-03-05 15:25:00,25.7,71,0.8,7.3,6.9889,80.4921,2021-03-05 15:25:00,15,4,0,1,6.989,80.492,6.989_80.492,1,0.38023088023088025
2021.03.10,10:15:00,Motor Cycle,Weralugashandiya,Excessive Speed,"6.9805, 80.4823",Collision with van,2021-03-10 10:15:00,25.1,76,0.0,8.3,6.9805,80.4823,2021-03-10 10:15:00,10,2,0,0,6.98,80.482,6.98_80.482,1,0.4256854256854257
2021.03.18,18:50:00,Motor Cycle,Ambagamuwa Temple,Slipped,"7.0190, 80.4938",fell on wet road,2021-03-18 18:50:00,22.2,90,0.0,5.7,7.019,80.4938,2021-03-18 18:50:00,18,3,0,0,7.019,80.494,7.019_80.494,0,0.35071806500377933
2021.03.19,20:40:00,Car,Ginigathena Temple,,"6.988719, 80.494846",hit a man,2021-03-19 20:40:00,21.5,93,0.0,3.7,6.988719,80.494846,2021-03-19 20:40:00,20,4,0,0,6.989,80.495,6.989_80.495,0,0.35071806500377933
2021.03.23,19:50:00,Three Wheeler,Bagathuluwa Ceb Office,Slipped,"7.0107, 80.4921",Turn over,2021-03-23 19:50:00,21.4,98,0.0,2.4,7.0107,80.4921,2021-03-23 19:50:00,19,1,0,0,7.011,80.492,7.011_80.492,0,0.3347763347763348
2021.04.01,11:15:00,Van,Diyagala 57/11 Culvert,Excessive Speed,"6.975509, 80.507632",collision with lorry,2021-04-01 11:15:00,25.2,83,0.1,10.3,6.975509,80.507632,2021-04-01 11:15:00,11,3,0,0,6.976,80.508,6.976_80.508,1,0.39833711262282695
2021.04.03,09:00:00,Car,Laxapana Bata Deka,"Slipped, Excessive Speed","6.978074, 80.458769",hit with a car,2021-04-03 09:00:00,24.9,78,0.0,9.2,6.978074,80.458769,2021-04-03 09:00:00,9,5,1,0,6.978,80.459,6.978_80.459,1,0.39833711262282695
2021.04.05,12:25:00,Van,Millagahamula Dinuwara Stores,Excessive Speed,"6.9894, 80.4561",Hit parked car,2021-04-05 12:25:00,27.0,68,0.0,5.4,6.9894,80.4561,2021-04-05 12:25:00,12,0,0,0,6.989,80.456,6.989_80.456,1,0.4256854256854257
2021.04.14,16:40:00,Car,Millagahamula 46/11 Culvert,Slipped,"6.989769, 80.456101",lost control,2021-04-14 16:40:00,22.8,94,6.1,2.4,6.989769,80.456101,2021-04-14 16:40:00,16,2,0,1,6.99,80.456,6.99_80.456,0,0.35071806500377933
